Project Name,Package Name,Type Name,Method Name,Code Smell
json-schema,org.everit.json.schema,ValidationExceptionTest,constructorNullSchema,Magic Number
json-schema,org.everit.json.schema,ValidationExceptionTest,nullPointerFragmentFailure,Magic Number
json-schema,org.everit.json.schema,ValidationExceptionTest,prependNoSchemaChange,Magic Number
json-schema,org.everit.json.schema,ValidationExceptionTest,prependPointer,Magic Number
json-schema,org.everit.json.schema,ValidationExceptionTest,violationCountWithCauses,Magic Number
json-schema,org.everit.json.schema,ValidationExceptionTest,violationCountWithNestedCauses,Long Statement
json-schema,org.everit.json.schema,ValidationExceptionTest,violationCountWithNestedCauses,Magic Number
json-schema,org.everit.json.schema,ValidationExceptionTest,testConstructor,Magic Number
json-schema,org.everit.json.schema,ValidationExceptionTest,throwForMultipleFailures,Magic Number
json-schema,org.everit.json.schema,ValidationExceptionTest,toStringWithCauses,Long Statement
json-schema,org.everit.json.schema,ValidationExceptionTest,testToJSON,Long Statement
json-schema,org.everit.json.schema,ValidationExceptionTest,testToJSONWithSchemaLocation,Long Statement
json-schema,org.everit.json.schema,ValidationExceptionTest,toJSONNullPointerToViolation,Long Statement
json-schema,org.everit.json.schema,ValidationExceptionTest,toJSONWithCauses,Long Statement
json-schema,org.everit.json.schema,ValidationExceptionTest,toJSONWithCauses,Long Statement
json-schema,org.everit.json.schema,ValidatorTest,testCollectAllMode,Long Statement
json-schema,org.everit.json.schema,ValidatorTest,testCollectAllMode,Magic Number
json-schema,org.everit.json.schema,ValidatorTest,testFailEarlyMode,Long Statement
json-schema,org.everit.json.schema,ValidatorTest,readOnlyContext,Long Statement
json-schema,org.everit.json.schema,ValidatorTest,writeOnlyContext,Long Statement
json-schema,org.everit.json.schema,ValidatorTest,readOnlyNullValue,Long Statement
json-schema,org.everit.json.schema,V6TestSuiteTest,params,Long Statement
json-schema,org.everit.json.schema,V7TestSuiteTest,params,Long Statement
json-schema,org.everit.json.schema,EmptyObjectTest,validateEmptyObject,Long Statement
json-schema,org.everit.json.schema,EvenCharNumValidator,validate,Magic Number
json-schema,org.everit.json.schema,InvalidObjectInArrayTest,readObject,Long Statement
json-schema,org.everit.json.schema,IssueServlet,doGet,Magic Number
json-schema,org.everit.json.schema,IssueTest,params,Long Statement
json-schema,org.everit.json.schema,IssueTest,consumeValidatorConfig,Complex Method
json-schema,org.everit.json.schema,IssueTest,consumeValidatorConfig,Long Statement
json-schema,org.everit.json.schema,IssueTest,consumeValidatorConfig,Long Statement
json-schema,org.everit.json.schema,IssueTest,consumeValidatorConfig,Long Statement
json-schema,org.everit.json.schema,IssueTest,consumeValidatorConfig,Long Statement
json-schema,org.everit.json.schema,IssueTest,consumeValidatorConfig,Magic Number
json-schema,org.everit.json.schema,IssueTest,consumeValidatorConfig,Magic Number
json-schema,org.everit.json.schema,IssueTest,consumeValidatorConfig,Magic Number
json-schema,org.everit.json.schema,IssueTest,consumeValidatorConfig,Magic Number
json-schema,org.everit.json.schema,IssueTest,consumeValidatorConfig,Magic Number
json-schema,org.everit.json.schema,IssueTest,checkExpectedValues,Magic Number
json-schema,org.everit.json.schema,IssueTest,checkExpectedValues,Magic Number
json-schema,org.everit.json.schema,JettyWrapper,JettyWrapper,Magic Number
json-schema,org.everit.json.schema,MetaSchemaTest,validateMetaSchema,Long Statement
json-schema,org.everit.json.schema,RelativeURITest,test,Long Statement
json-schema,org.everit.json.schema,TestCase,assertEmptyCauseStackTraces,Long Statement
json-schema,org.everit.json.schema.event,CombinedSchemaMatchEventTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema.event,CombinedSchemaMismatchEventTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema.event,ConditionalSchemaMatchEventTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema.event,ConditionalSchemaMismatchEventTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema.event,SchemaReferencedEventTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema.internal,HostnameFormatValidator,validate,Long Statement
